Dataset,Outlier_Frac,Trial,Config,Rel_Error
Misra1a,0.0,0,rho_f=0.85,4.758518264107041e-12
Misra1a,0.1,0,rho_f=0.85,0.04513267833065372
Misra1a,0.1,1,rho_f=0.85,0.046278447664320384
Misra1a,0.1,2,rho_f=0.85,0.04627844766429778
Misra1a,0.1,3,rho_f=0.85,0.04627844766431924
Misra1a,0.1,4,rho_f=0.85,0.03219131280514988
Misra1a,0.1,5,rho_f=0.85,0.045223934913160325
Misra1a,0.1,6,rho_f=0.85,0.04627844766432049
Misra1a,0.1,7,rho_f=0.85,0.04526824248391082
Misra1a,0.1,8,rho_f=0.85,0.046278447664316325
Misra1a,0.1,9,rho_f=0.85,0.04627844766424907
Misra1a,0.1,10,rho_f=0.85,0.0462784476643189
Misra1a,0.1,11,rho_f=0.85,0.04627844766431817
Misra1a,0.1,12,rho_f=0.85,0.04481852313661876
Misra1a,0.1,13,rho_f=0.85,0.04523532802512341
Misra1a,0.1,14,rho_f=0.85,0.04526836456421526
Misra1a,0.1,15,rho_f=0.85,0.036899399460750014
Misra1a,0.1,16,rho_f=0.85,0.04514843725347175
Misra1a,0.1,17,rho_f=0.85,0.04627844766432145
Misra1a,0.1,18,rho_f=0.85,0.045222196929443494
Misra1a,0.1,19,rho_f=0.85,0.04522527234253166
Misra1a,0.3,0,rho_f=0.85,0.04319775784165555
Misra1a,0.3,1,rho_f=0.85,0.03884177818925582
Misra1a,0.3,2,rho_f=0.85,0.04627844766420661
Misra1a,0.3,3,rho_f=0.85,0.04627844766412975
Misra1a,0.3,4,rho_f=0.85,0.046173035198438406
Misra1a,0.3,5,rho_f=0.85,0.04627844766427864
Misra1a,0.3,6,rho_f=0.85,0.04410907244645348
Misra1a,0.3,7,rho_f=0.85,0.03594818836572811
Misra1a,0.3,8,rho_f=0.85,0.022742809483832064
Misra1a,0.3,9,rho_f=0.85,0.04627844766431455
Misra1a,0.3,10,rho_f=0.85,0.034118871630668374
Misra1a,0.3,11,rho_f=0.85,0.04627844766430403
Misra1a,0.3,12,rho_f=0.85,0.04627844766431702
Misra1a,0.3,13,rho_f=0.85,0.04627844766429318
Misra1a,0.3,14,rho_f=0.85,0.02178501539322907
Misra1a,0.3,15,rho_f=0.85,0.047128079975998334
Misra1a,0.3,16,rho_f=0.85,0.04627844766426721
Misra1a,0.3,17,rho_f=0.85,0.046278447664274705
Misra1a,0.3,18,rho_f=0.85,0.04629868625690289
Misra1a,0.3,19,rho_f=0.85,0.04649747272769378
Chwirut2,0.0,0,rho_f=0.85,0.09795430655359494
Chwirut2,0.1,0,rho_f=0.85,0.06487272620756274
Chwirut2,0.1,1,rho_f=0.85,0.17652563595070123
Chwirut2,0.1,2,rho_f=0.85,0.09272659478835055
Chwirut2,0.1,3,rho_f=0.85,0.09795327571674296
Chwirut2,0.1,4,rho_f=0.85,0.09272942352940054
Chwirut2,0.1,5,rho_f=0.85,0.09154350274856274
Chwirut2,0.1,6,rho_f=0.85,0.09272876241432428
Chwirut2,0.1,7,rho_f=0.85,0.09795256464727732
Chwirut2,0.1,8,rho_f=0.85,0.16933850950620946
Chwirut2,0.1,9,rho_f=0.85,0.0907307732023858
Chwirut2,0.1,10,rho_f=0.85,0.0752608637628693
Chwirut2,0.1,11,rho_f=0.85,0.0920981292271025
Chwirut2,0.1,12,rho_f=0.85,0.09795571460612072
Chwirut2,0.1,13,rho_f=0.85,0.09153894648363826
Chwirut2,0.1,14,rho_f=0.85,0.09074346826625991
Chwirut2,0.1,15,rho_f=0.85,0.09357907495240139
Chwirut2,0.1,16,rho_f=0.85,0.09069095403855418
Chwirut2,0.1,17,rho_f=0.85,0.09074385268186332
Chwirut2,0.1,18,rho_f=0.85,0.13849066524595036
Chwirut2,0.1,19,rho_f=0.85,0.06509317120776537
Chwirut2,0.3,0,rho_f=0.85,0.2793690761522247
Chwirut2,0.3,1,rho_f=0.85,0.0985585903106558
Chwirut2,0.3,2,rho_f=0.85,0.09149044457645744
Chwirut2,0.3,3,rho_f=0.85,0.07526246545811065
