Dataset,Outlier_Frac,Trial,Config,Rel_Error
Misra1a,0.0,0,C1,0.04108394394144903
Misra1a,0.0,0,C2,0.03811935975459108
Misra1a,0.0,0,C3,0.04627844766431742
Misra1a,0.0,0,C4,0.04627844766431742
Misra1a,0.0,0,C5,4.756020354257173e-12
Misra1a,0.0,0,C6,0.04627844766431742
Misra1a,0.0,0,C7,0.04627844766431742
Misra1a,0.1,0,C1,0.03811861535676075
Misra1a,0.1,0,C2,0.0036596262370261813
Misra1a,0.1,0,C3,0.046278447664307894
Misra1a,0.1,0,C4,0.046278447664307894
Misra1a,0.1,0,C5,0.04513263180423432
Misra1a,0.1,0,C6,0.046278447664307894
Misra1a,0.1,0,C7,0.046278447664307894
Misra1a,0.1,1,C1,0.04157140570490563
Misra1a,0.1,1,C2,0.0036598724435427735
Misra1a,0.1,1,C3,0.046278447664320356
Misra1a,0.1,1,C4,0.046278447664320356
Misra1a,0.1,1,C5,0.046278447664320356
Misra1a,0.1,1,C6,0.046278447664320356
Misra1a,0.1,1,C7,0.046278447664320356
Misra1a,0.1,2,C1,0.041227860031633604
Misra1a,0.1,2,C2,0.003660369959183564
Misra1a,0.1,2,C3,0.046278447664302655
Misra1a,0.1,2,C4,0.046278447664302655
Misra1a,0.1,2,C5,0.046278447664302655
Misra1a,0.1,2,C6,0.046278447664302655
Misra1a,0.1,2,C7,0.046278447664302655
Misra1a,0.1,3,C1,0.0682505388003935
Misra1a,0.1,3,C2,0.003660362844985723
Misra1a,0.1,3,C3,0.046278447664319
Misra1a,0.1,3,C4,0.046278447664319
Misra1a,0.1,3,C5,0.046278447664319
Misra1a,0.1,3,C6,0.046278447664319
Misra1a,0.1,3,C7,0.046278447664319
Misra1a,0.1,4,C1,0.038119389165581156
Misra1a,0.1,4,C2,0.003660680362086546
Misra1a,0.1,4,C3,0.04627844766429715
Misra1a,0.1,4,C4,0.04627844766429715
Misra1a,0.1,4,C5,0.03218925792621577
Misra1a,0.1,4,C6,0.04627844766429715
Misra1a,0.1,4,C7,0.04627844766429715
Misra1a,0.1,5,C1,0.03811570102705236
Misra1a,0.1,5,C2,0.0381157010630652
Misra1a,0.1,5,C3,0.04627844766430944
Misra1a,0.1,5,C4,0.04627844766430944
Misra1a,0.1,5,C5,0.045223922072375695
Misra1a,0.1,5,C6,0.04627844766430944
Misra1a,0.1,5,C7,0.04627844766430944
Misra1a,0.1,6,C1,0.02512388838912798
Misra1a,0.1,6,C2,0.0036595903062943045
Misra1a,0.1,6,C3,0.046278447664321334
Misra1a,0.1,6,C4,0.046278447664321334
Misra1a,0.1,6,C5,0.046278447664321334
Misra1a,0.1,6,C6,0.046278447664321334
Misra1a,0.1,6,C7,0.046278447664321334
Misra1a,0.1,7,C1,0.03812939939157963
Misra1a,0.1,7,C2,0.03882770975646609
Misra1a,0.1,7,C3,0.0462784476642922
Misra1a,0.1,7,C4,0.0462784476642922
Misra1a,0.1,7,C5,0.04526823793176571
Misra1a,0.1,7,C6,0.0462784476642922
Misra1a,0.1,7,C7,0.0462784476642922
Misra1a,0.1,8,C1,0.038119385757988206
Misra1a,0.1,8,C2,0.003660625947672853
Misra1a,0.1,8,C3,0.04627844766431847
Misra1a,0.1,8,C4,0.04627844766431847
Misra1a,0.1,8,C5,0.04627844766431847
Misra1a,0.1,8,C6,0.04627844766431847
Misra1a,0.1,8,C7,0.04627844766431847
Misra1a,0.1,9,C1,0.04157399245879338
Misra1a,0.1,9,C2,0.04157399239252335
