Dataset,Outlier_Frac,Trial,Config,Rel_Error
Misra1a,0.0,0,C1d,0.046278447664312376
Misra1a,0.1,0,C1d,0.04627844766431297
Misra1a,0.1,1,C1d,0.04627844766431309
Misra1a,0.1,2,C1d,0.046278447664311245
Misra1a,0.1,3,C1d,0.04627844766431541
Misra1a,0.1,4,C1d,0.04627844766431149
Misra1a,0.1,5,C1d,0.046278447664312855
Misra1a,0.1,6,C1d,0.04627844766431309
Misra1a,0.1,7,C1d,0.046278447664312855
Misra1a,0.1,8,C1d,0.046278447664312376
Misra1a,0.1,9,C1d,0.04627844766431107
Misra1a,0.1,10,C1d,0.04627844766431209
Misra1a,0.1,11,C1d,0.046278447664317005
Misra1a,0.1,12,C1d,0.04627844766430962
Misra1a,0.1,13,C1d,0.046278447664312376
Misra1a,0.1,14,C1d,0.046278447664312855
Misra1a,0.1,15,C1d,0.046278447664310655
Misra1a,0.1,16,C1d,0.046278447664312855
Misra1a,0.1,17,C1d,0.04627844766431321
Misra1a,0.1,18,C1d,0.046278447664312855
Misra1a,0.1,19,C1d,0.04627844766431297
Misra1a,0.2,0,C1d,0.046278447664312376
Misra1a,0.2,1,C1d,0.0462784476643144
Misra1a,0.2,2,C1d,0.046278447664311606
Misra1a,0.2,3,C1d,0.04627844766430934
Misra1a,0.2,4,C1d,0.046278447664312425
Misra1a,0.2,5,C1d,0.046278447664316234
Misra1a,0.2,6,C1d,0.046278447664310926
Misra1a,0.2,7,C1d,0.04627844766431369
Misra1a,0.2,8,C1d,0.04627844766431587
Misra1a,0.2,9,C1d,0.0462784476643142
Misra1a,0.2,10,C1d,0.04627844766431244
Misra1a,0.2,11,C1d,0.04627844766431154
Misra1a,0.2,12,C1d,0.04627844766431333
Misra1a,0.2,13,C1d,0.04627844766431467
Misra1a,0.2,14,C1d,0.04627844766431149
Misra1a,0.2,15,C1d,0.04627844766430862
Misra1a,0.2,16,C1d,0.04627844766431267
Misra1a,0.2,17,C1d,0.04627844766431261
Misra1a,0.2,18,C1d,0.04627844766431558
Misra1a,0.2,19,C1d,0.04627844766431551
