Dataset,Outlier_Frac,Trial,Config,Rel_Error
Misra1a,0.0,0,default,4.756020354257173e-12
Misra1a,0.0,0,f=0.3,4.761967758661621e-12
Misra1a,0.0,0,f=0.8,3.943127930747338e-10
Misra1a,0.0,0,f=1.0,4.760421433516464e-12
Misra1a,0.0,0,tau=0.90,4.756020354257173e-12
Misra1a,0.0,0,tau=0.99,4.756020354257173e-12
Misra1a,0.0,0,delta=0.01,4.756020354257173e-12
Misra1a,0.0,0,delta=0.10,4.756020354257173e-12
Misra1a,0.0,0,published,4.756020354257173e-12
Misra1a,0.1,0,default,0.04513263180423432
Misra1a,0.1,0,f=0.3,0.04627844766430781
Misra1a,0.1,0,f=0.8,0.03444958634794999
Misra1a,0.1,0,f=1.0,0.03237901938137949
Misra1a,0.1,0,tau=0.90,0.04513263180423432
Misra1a,0.1,0,tau=0.99,0.04513263180423432
Misra1a,0.1,0,delta=0.01,0.04513263180423432
Misra1a,0.1,0,delta=0.10,0.04513263180423432
Misra1a,0.1,0,published,0.04513263180423432
Misra1a,0.1,1,default,0.046278447664320356
Misra1a,0.1,1,f=0.3,0.046278447664320356
Misra1a,0.1,1,f=0.8,0.046278447664320356
Misra1a,0.1,1,f=1.0,0.04627844766432084
Misra1a,0.1,1,tau=0.90,0.046278447664320356
Misra1a,0.1,1,tau=0.99,0.046278447664320356
Misra1a,0.1,1,delta=0.01,0.046278447664320356
Misra1a,0.1,1,delta=0.10,0.046278447664320356
Misra1a,0.1,1,published,0.046278447664320356
Misra1a,0.1,2,default,0.046278447664302655
Misra1a,0.1,2,f=0.3,0.04627844766430269
Misra1a,0.1,2,f=0.8,0.046278447664302516
Misra1a,0.1,2,f=1.0,0.046278447664302856
Misra1a,0.1,2,tau=0.90,0.046278447664302655
Misra1a,0.1,2,tau=0.99,0.046278447664302655
Misra1a,0.1,2,delta=0.01,0.046278447664302655
Misra1a,0.1,2,delta=0.10,0.046278447664302655
Misra1a,0.1,2,published,0.046278447664302655
Misra1a,0.1,3,default,0.046278447664319
Misra1a,0.1,3,f=0.3,0.0462784476643191
Misra1a,0.1,3,f=0.8,0.04627844766431895
