n,p,Magnitude,Leverage_Ratio,Trial,Method,Param_Error
100,5,4.0,0.1,0,Lf_dual,0.019091925240767173
100,5,4.0,0.1,0,OLS,0.5317045986285788
100,5,4.0,0.1,0,Huber,0.5317045986285788
100,5,4.0,0.1,0,Cauchy,0.5317045986285788
100,5,4.0,0.1,0,Barron,0.8451964473431096
100,5,4.0,0.1,1,Lf_dual,0.04100984964344224
100,5,4.0,0.1,1,OLS,0.7585482803692347
100,5,4.0,0.1,1,Huber,0.7585482803692347
100,5,4.0,0.1,1,Cauchy,0.7585482803692347
100,5,4.0,0.1,1,Barron,0.6123719903653154
100,5,4.0,0.1,2,Lf_dual,0.035406581175269874
100,5,4.0,0.1,2,OLS,1.0441641001267659
100,5,4.0,0.1,2,Huber,0.37067956744106273
100,5,4.0,0.1,2,Cauchy,1.0441641001267659
100,5,4.0,0.1,2,Barron,0.6110744615714852
100,5,4.0,0.1,3,Lf_dual,0.051871403442987365
100,5,4.0,0.1,3,OLS,0.9662350759863191
100,5,4.0,0.1,3,Huber,0.9662350759863191
100,5,4.0,0.1,3,Cauchy,0.9662350759863191
100,5,4.0,0.1,3,Barron,0.35996460021937876
100,5,4.0,0.1,4,Lf_dual,0.053187784237627496
100,5,4.0,0.1,4,OLS,0.8995916693028363
100,5,4.0,0.1,4,Huber,0.04234826548881518
100,5,4.0,0.1,4,Cauchy,0.8995916693028363
100,5,4.0,0.1,4,Barron,0.5909381102724423
100,5,4.0,0.1,5,Lf_dual,0.02960979717845295
100,5,4.0,0.1,5,OLS,0.9916686321404662
100,5,4.0,0.1,5,Huber,0.9916686321404662
100,5,4.0,0.1,5,Cauchy,0.9916686321404662
100,5,4.0,0.1,5,Barron,1.271266020782125
100,5,4.0,0.1,6,Lf_dual,0.033693313089836766
100,5,4.0,0.1,6,OLS,0.9070654879874812
100,5,4.0,0.1,6,Huber,0.05090209003342891
100,5,4.0,0.1,6,Cauchy,0.9070654879874812
100,5,4.0,0.1,6,Barron,1.1342706595244831
100,5,4.0,0.1,7,Lf_dual,0.04201549430817033
100,5,4.0,0.1,7,OLS,1.4052011958026183
100,5,4.0,0.1,7,Huber,0.06245722442599316
100,5,4.0,0.1,7,Cauchy,0.6463044347284176
100,5,4.0,0.1,7,Barron,0.6756776614694947
100,5,4.0,0.1,8,Lf_dual,0.03541115472205797
100,5,4.0,0.1,8,OLS,0.5608981036172558
100,5,4.0,0.1,8,Huber,0.057585507795424096
100,5,4.0,0.1,8,Cauchy,0.5608981036172558
100,5,4.0,0.1,8,Barron,0.2932619938963203
100,5,4.0,0.1,9,Lf_dual,0.04866689395746756
100,5,4.0,0.1,9,OLS,0.6775746305157692
100,5,4.0,0.1,9,Huber,0.0426329591647836
100,5,4.0,0.1,9,Cauchy,0.6775746305157692
100,5,4.0,0.1,9,Barron,1.101874849560845
100,5,4.0,0.1,10,Lf_dual,0.058762940990166414
100,5,4.0,0.1,10,OLS,0.3813942671099952
100,5,4.0,0.1,10,Huber,0.03283439000468966
100,5,4.0,0.1,10,Cauchy,0.3813942671099952
100,5,4.0,0.1,10,Barron,0.6050821729675108
100,5,4.0,0.1,11,Lf_dual,0.04177026259155303
100,5,4.0,0.1,11,OLS,0.8766028733702127
100,5,4.0,0.1,11,Huber,0.8766028733702127
100,5,4.0,0.1,11,Cauchy,0.8766028733702127
100,5,4.0,0.1,11,Barron,0.7756884300997409
100,5,4.0,0.1,12,Lf_dual,0.028049583934990203
100,5,4.0,0.1,12,OLS,0.653220625498567
100,5,4.0,0.1,12,Huber,0.27922647138724194
100,5,4.0,0.1,12,Cauchy,0.653220625498567
100,5,4.0,0.1,12,Barron,0.7717955106602192
100,5,4.0,0.1,13,Lf_dual,0.03655811174880986
100,5,4.0,0.1,13,OLS,1.1481128833583614
100,5,4.0,0.1,13,Huber,0.46902140974249357
100,5,4.0,0.1,13,Cauchy,1.1481128833583614
100,5,4.0,0.1,13,Barron,1.0377728737281429
100,5,4.0,0.1,14,Lf_dual,0.032841406165063695
100,5,4.0,0.1,14,OLS,0.35088246301635573
100,5,4.0,0.1,14,Huber,0.35088246301635573
100,5,4.0,0.1,14,Cauchy,0.35088246301635573
100,5,4.0,0.1,14,Barron,0.9526744948288193
100,5,4.0,0.1,15,Lf_dual,0.04274369199178865
100,5,4.0,0.1,15,OLS,0.7871167294755714
100,5,4.0,0.1,15,Huber,0.32709504874581397
100,5,4.0,0.1,15,Cauchy,0.7871167294755714
100,5,4.0,0.1,15,Barron,0.6472129979895916
100,5,4.0,0.1,16,Lf_dual,0.04519649044110266
100,5,4.0,0.1,16,OLS,0.813895493747413
100,5,4.0,0.1,16,Huber,0.3516822880213112
100,5,4.0,0.1,16,Cauchy,0.813895493747413
100,5,4.0,0.1,16,Barron,0.8214717916511367
100,5,4.0,0.1,17,Lf_dual,0.02711270388673142
100,5,4.0,0.1,17,OLS,0.7655003212688419
100,5,4.0,0.1,17,Huber,0.7655003212688419
100,5,4.0,0.1,17,Cauchy,0.7655003212688419
100,5,4.0,0.1,17,Barron,1.2098083514486035
100,5,4.0,0.1,18,Lf_dual,0.04318533106279059
100,5,4.0,0.1,18,OLS,0.5545004906008089
100,5,4.0,0.1,18,Huber,0.05421240499090355
100,5,4.0,0.1,18,Cauchy,0.5545004906008089
100,5,4.0,0.1,18,Barron,1.0744859025038482
100,5,4.0,0.1,19,Lf_dual,0.03175149174657955
100,5,4.0,0.1,19,OLS,0.7124073191478583
100,5,4.0,0.1,19,Huber,0.44807426970899594
100,5,4.0,0.1,19,Cauchy,0.7124073191478583
100,5,4.0,0.1,19,Barron,1.268103552428007
100,5,4.0,0.2,0,Lf_dual,0.027936432209909774
100,5,4.0,0.2,0,OLS,0.9224195658479457
100,5,4.0,0.2,0,Huber,0.9224195658479457
100,5,4.0,0.2,0,Cauchy,0.9224195658479457
100,5,4.0,0.2,0,Barron,1.0067696264397092
100,5,4.0,0.2,1,Lf_dual,0.09202696540529462
100,5,4.0,0.2,1,OLS,0.797037680663039
100,5,4.0,0.2,1,Huber,0.797037680663039
100,5,4.0,0.2,1,Cauchy,0.797037680663039
100,5,4.0,0.2,1,Barron,0.49625186920363273
100,5,4.0,0.2,2,Lf_dual,0.0428785158770734
100,5,4.0,0.2,2,OLS,0.5924901915938424
100,5,4.0,0.2,2,Huber,0.24372109101718348
100,5,4.0,0.2,2,Cauchy,0.5924901915938424
100,5,4.0,0.2,2,Barron,0.46498611017619423
100,5,4.0,0.2,3,Lf_dual,0.027810127514019435
100,5,4.0,0.2,3,OLS,0.3982678161641971
100,5,4.0,0.2,3,Huber,0.3982678161641971
100,5,4.0,0.2,3,Cauchy,0.3982678161641971
100,5,4.0,0.2,3,Barron,0.387730924110279
100,5,4.0,0.2,4,Lf_dual,0.04499435951709264
100,5,4.0,0.2,4,OLS,0.7100815081946192
100,5,4.0,0.2,4,Huber,0.25994664673610296
100,5,4.0,0.2,4,Cauchy,0.7100815081946192
100,5,4.0,0.2,4,Barron,0.6698088427156846
100,5,4.0,0.2,5,Lf_dual,0.05449614948191343
100,5,4.0,0.2,5,OLS,1.3343410152335702
100,5,4.0,0.2,5,Huber,0.21542892786702622
100,5,4.0,0.2,5,Cauchy,0.7742662817649429
100,5,4.0,0.2,5,Barron,1.1004088036970356
100,5,4.0,0.2,6,Lf_dual,0.06650551036929475
100,5,4.0,0.2,6,OLS,0.4267736238182138
100,5,4.0,0.2,6,Huber,0.4267736238182138
100,5,4.0,0.2,6,Cauchy,0.4267736238182138
100,5,4.0,0.2,6,Barron,0.9183751114393391
100,5,4.0,0.2,7,Lf_dual,0.0545697418776728
100,5,4.0,0.2,7,OLS,1.0858382737329306
100,5,4.0,0.2,7,Huber,0.01763118026266235
100,5,4.0,0.2,7,Cauchy,0.7312754163798716
100,5,4.0,0.2,7,Barron,1.2207648836547491
100,5,4.0,0.2,8,Lf_dual,0.02733360817775155
100,5,4.0,0.2,8,OLS,0.2511692538421104
100,5,4.0,0.2,8,Huber,0.05111828503459271
100,5,4.0,0.2,8,Cauchy,0.2511692538421104
100,5,4.0,0.2,8,Barron,0.2733071330251254
100,5,4.0,0.2,9,Lf_dual,0.05710360472219788
100,5,4.0,0.2,9,OLS,0.5074226375490262
100,5,4.0,0.2,9,Huber,0.1221147749847975
100,5,4.0,0.2,9,Cauchy,0.5074226375490262
100,5,4.0,0.2,9,Barron,0.40910461980107277
100,5,4.0,0.2,10,Lf_dual,0.0418943252421151
100,5,4.0,0.2,10,OLS,0.547508667131225
100,5,4.0,0.2,10,Huber,0.547508667131225
100,5,4.0,0.2,10,Cauchy,0.547508667131225
100,5,4.0,0.2,10,Barron,0.8742562388638595
100,5,4.0,0.2,11,Lf_dual,0.05210030369125681
100,5,4.0,0.2,11,OLS,0.7725996778315934
100,5,4.0,0.2,11,Huber,0.7725996778315934
100,5,4.0,0.2,11,Cauchy,0.7725996778315934
100,5,4.0,0.2,11,Barron,1.6323813173799613
100,5,4.0,0.2,12,Lf_dual,0.03650682753361072
100,5,4.0,0.2,12,OLS,1.192943346867294
100,5,4.0,0.2,12,Huber,1.192943346867294
100,5,4.0,0.2,12,Cauchy,1.192943346867294
100,5,4.0,0.2,12,Barron,0.7325109702094246
100,5,4.0,0.2,13,Lf_dual,0.036581978285728775
100,5,4.0,0.2,13,OLS,1.2116252832057774
100,5,4.0,0.2,13,Huber,0.36022878891365795
100,5,4.0,0.2,13,Cauchy,0.5771600886566673
100,5,4.0,0.2,13,Barron,0.8828426739427727
100,5,4.0,0.2,14,Lf_dual,0.04217214456087212
