n,p,Magnitude,Leverage_Ratio,Trial,Method,Param_Error
100,5,4.0,0.1,0,Lf_dual,0.019091925240767173
100,5,4.0,0.1,0,OLS,0.5317045986285788
100,5,4.0,0.1,0,Huber,0.07042379239804257
100,5,4.0,0.1,0,Cauchy,0.11660569373706807
100,5,4.0,0.1,0,Barron,0.8342546053738178
100,5,4.0,0.1,1,Lf_dual,0.04100984964344224
100,5,4.0,0.1,1,OLS,0.7585482803692347
100,5,4.0,0.1,1,Huber,0.17066265202375622
100,5,4.0,0.1,1,Cauchy,0.050808826075271554
100,5,4.0,0.1,1,Barron,0.9087680490715293
100,5,4.0,0.1,2,Lf_dual,0.035406581175269874
100,5,4.0,0.1,2,OLS,1.0441641001267659
100,5,4.0,0.1,2,Huber,0.063510960329972
100,5,4.0,0.1,2,Cauchy,0.7273273439596842
100,5,4.0,0.1,2,Barron,1.300881241463481
100,5,4.0,0.1,3,Lf_dual,0.051871403442987365
100,5,4.0,0.1,3,OLS,0.9662350759863191
100,5,4.0,0.1,3,Huber,0.11311809574885495
100,5,4.0,0.1,3,Cauchy,0.15492177066837534
100,5,4.0,0.1,3,Barron,0.3062461530674869
100,5,4.0,0.1,4,Lf_dual,0.053187784237627496
100,5,4.0,0.1,4,OLS,0.8995916693028363
100,5,4.0,0.1,4,Huber,0.09868842030378674
100,5,4.0,0.1,4,Cauchy,0.06827114449880133
100,5,4.0,0.1,4,Barron,1.581130124964947
100,5,4.0,0.1,5,Lf_dual,0.02960979717845295
100,5,4.0,0.1,5,OLS,0.9916686321404662
100,5,4.0,0.1,5,Huber,0.18557293725493818
100,5,4.0,0.1,5,Cauchy,1.1768239937749585
100,5,4.0,0.1,5,Barron,0.3835307531437686
100,5,4.0,0.1,6,Lf_dual,0.033693313089836766
100,5,4.0,0.1,6,OLS,0.9070654879874812
100,5,4.0,0.1,6,Huber,0.04441251378004527
100,5,4.0,0.1,6,Cauchy,0.4006259423047569
100,5,4.0,0.1,6,Barron,2.7401623722943262
100,5,4.0,0.1,7,Lf_dual,0.04201549430817033
100,5,4.0,0.1,7,OLS,1.4052011958026183
100,5,4.0,0.1,7,Huber,0.040700524203169546
100,5,4.0,0.1,7,Cauchy,0.8256412706668582
100,5,4.0,0.1,7,Barron,2.334383892709646
100,5,4.0,0.1,8,Lf_dual,0.03541115472205797
100,5,4.0,0.1,8,OLS,0.5608981036172558
100,5,4.0,0.1,8,Huber,0.33477998660091
100,5,4.0,0.1,8,Cauchy,0.3521195876951156
100,5,4.0,0.1,8,Barron,0.6996156085358277
100,5,4.0,0.1,9,Lf_dual,0.04866689395746756
100,5,4.0,0.1,9,OLS,0.6775746305157692
100,5,4.0,0.1,9,Huber,0.09674330944618208
100,5,4.0,0.1,9,Cauchy,0.47881140785756887
100,5,4.0,0.1,9,Barron,14.577966233705212
100,5,4.0,0.1,10,Lf_dual,0.058762940990166414
100,5,4.0,0.1,10,OLS,0.3813942671099952
100,5,4.0,0.1,10,Huber,0.12864523997943086
100,5,4.0,0.1,10,Cauchy,0.9572570331792215
100,5,4.0,0.1,10,Barron,3.0637511749850352
100,5,4.0,0.1,11,Lf_dual,0.04177026259155303
100,5,4.0,0.1,11,OLS,0.8766028733702127
100,5,4.0,0.1,11,Huber,1.565543369841007
100,5,4.0,0.1,11,Cauchy,1.0555847478842268
100,5,4.0,0.1,11,Barron,1.1543951443220992
100,5,4.0,0.1,12,Lf_dual,0.028049583934990203
100,5,4.0,0.1,12,OLS,0.653220625498567
100,5,4.0,0.1,12,Huber,0.2747694316808359
100,5,4.0,0.1,12,Cauchy,4.76337082511502
100,5,4.0,0.1,12,Barron,4.8542762096124115
100,5,4.0,0.1,13,Lf_dual,0.03655811174880986
100,5,4.0,0.1,13,OLS,1.1481128833583614
100,5,4.0,0.1,13,Huber,0.10734914216296115
100,5,4.0,0.1,13,Cauchy,0.40117971737500135
100,5,4.0,0.1,13,Barron,2.6243068607531095
100,5,4.0,0.1,14,Lf_dual,0.032841406165063695
100,5,4.0,0.1,14,OLS,0.35088246301635573
100,5,4.0,0.1,14,Huber,0.15039378729187733
100,5,4.0,0.1,14,Cauchy,0.8797749384588738
100,5,4.0,0.1,14,Barron,1.104525256777759
100,5,4.0,0.1,15,Lf_dual,0.04274369199178865
100,5,4.0,0.1,15,OLS,0.7871167294755714
100,5,4.0,0.1,15,Huber,0.11990064670705415
100,5,4.0,0.1,15,Cauchy,0.28152434361021683
100,5,4.0,0.1,15,Barron,0.5709265177859952
100,5,4.0,0.1,16,Lf_dual,0.04519649044110266
100,5,4.0,0.1,16,OLS,0.813895493747413
100,5,4.0,0.1,16,Huber,0.02935060722229675
100,5,4.0,0.1,16,Cauchy,0.339977155141166
100,5,4.0,0.1,16,Barron,1.301335502316058
100,5,4.0,0.1,17,Lf_dual,0.02711270388673142
100,5,4.0,0.1,17,OLS,0.7655003212688419
100,5,4.0,0.1,17,Huber,0.14587713867700547
100,5,4.0,0.1,17,Cauchy,0.3312999286804914
100,5,4.0,0.1,17,Barron,0.21679487040915177
100,5,4.0,0.1,18,Lf_dual,0.04318533106279059
100,5,4.0,0.1,18,OLS,0.5545004906008089
100,5,4.0,0.1,18,Huber,0.13324215972528483
100,5,4.0,0.1,18,Cauchy,0.8609937182926763
100,5,4.0,0.1,18,Barron,4.820436808287822
100,5,4.0,0.1,19,Lf_dual,0.03175149174657955
100,5,4.0,0.1,19,OLS,0.7124073191478583
100,5,4.0,0.1,19,Huber,0.4261587675983397
100,5,4.0,0.1,19,Cauchy,0.17170742889535826
100,5,4.0,0.1,19,Barron,0.9779515341359638
100,5,4.0,0.2,0,Lf_dual,0.027936432209909774
100,5,4.0,0.2,0,OLS,0.9224195658479457
100,5,4.0,0.2,0,Huber,0.09565796363276
100,5,4.0,0.2,0,Cauchy,0.23984709522506542
100,5,4.0,0.2,0,Barron,2.7986219919839534
100,5,4.0,0.2,1,Lf_dual,0.09202696540529462
100,5,4.0,0.2,1,OLS,0.797037680663039
100,5,4.0,0.2,1,Huber,0.11358306941327183
100,5,4.0,0.2,1,Cauchy,0.07039529053402782
100,5,4.0,0.2,1,Barron,1.1447076324264813
100,5,4.0,0.2,2,Lf_dual,0.0428785158770734
100,5,4.0,0.2,2,OLS,0.5924901915938424
100,5,4.0,0.2,2,Huber,0.07412741542465161
100,5,4.0,0.2,2,Cauchy,0.23903837300621317
100,5,4.0,0.2,2,Barron,1.738639045069284
100,5,4.0,0.2,3,Lf_dual,0.027810127514019435
100,5,4.0,0.2,3,OLS,0.3982678161641971
100,5,4.0,0.2,3,Huber,0.06995886274860835
100,5,4.0,0.2,3,Cauchy,0.18443020655700607
100,5,4.0,0.2,3,Barron,0.419730954782659
100,5,4.0,0.2,4,Lf_dual,0.04499435951709264
100,5,4.0,0.2,4,OLS,0.7100815081946192
100,5,4.0,0.2,4,Huber,0.08503115928587195
100,5,4.0,0.2,4,Cauchy,0.18858085100667962
100,5,4.0,0.2,4,Barron,4.883764776470299
100,5,4.0,0.2,5,Lf_dual,0.05449614948191343
100,5,4.0,0.2,5,OLS,1.3343410152335702
100,5,4.0,0.2,5,Huber,0.07912544448266387
100,5,4.0,0.2,5,Cauchy,0.7942865805614168
100,5,4.0,0.2,5,Barron,1.8519648032731482
100,5,4.0,0.2,6,Lf_dual,0.06650551036929475
100,5,4.0,0.2,6,OLS,0.4267736238182138
100,5,4.0,0.2,6,Huber,0.15239132122977012
100,5,4.0,0.2,6,Cauchy,0.37927006485896003
100,5,4.0,0.2,6,Barron,3.3594005981913293
100,5,4.0,0.2,7,Lf_dual,0.0545697418776728
100,5,4.0,0.2,7,OLS,1.0858382737329306
100,5,4.0,0.2,7,Huber,0.06570952821301339
100,5,4.0,0.2,7,Cauchy,0.8306561063342772
100,5,4.0,0.2,7,Barron,2.8919621081809286
100,5,4.0,0.2,8,Lf_dual,0.02733360817775155
100,5,4.0,0.2,8,OLS,0.2511692538421104
100,5,4.0,0.2,8,Huber,1.7979342355988865
100,5,4.0,0.2,8,Cauchy,1.6905682216933304
100,5,4.0,0.2,8,Barron,1092.8695962088852
100,5,4.0,0.2,9,Lf_dual,0.05710360472219788
100,5,4.0,0.2,9,OLS,0.5074226375490262
100,5,4.0,0.2,9,Huber,0.20405583895137044
100,5,4.0,0.2,9,Cauchy,1.9520216122399365
100,5,4.0,0.2,9,Barron,9.47686444124738
100,5,4.0,0.2,10,Lf_dual,0.0418943252421151
100,5,4.0,0.2,10,OLS,0.547508667131225
100,5,4.0,0.2,10,Huber,0.1827099663862622
100,5,4.0,0.2,10,Cauchy,1.7934141428429695
100,5,4.0,0.2,10,Barron,1.9356200015440503
100,5,4.0,0.2,11,Lf_dual,0.05210030369125681
100,5,4.0,0.2,11,OLS,0.7725996778315934
100,5,4.0,0.2,11,Huber,0.19159054677771634
100,5,4.0,0.2,11,Cauchy,0.9044990425791216
100,5,4.0,0.2,11,Barron,3.5613923758046826
100,5,4.0,0.2,12,Lf_dual,0.03650682753361072
100,5,4.0,0.2,12,OLS,1.192943346867294
100,5,4.0,0.2,12,Huber,0.05300307176281361
100,5,4.0,0.2,12,Cauchy,0.2950011560510532
100,5,4.0,0.2,12,Barron,3.264312289899297
100,5,4.0,0.2,13,Lf_dual,0.036581978285728775
100,5,4.0,0.2,13,OLS,1.2116252832057774
100,5,4.0,0.2,13,Huber,0.06086682045764429
100,5,4.0,0.2,13,Cauchy,1.0266364013467113
100,5,4.0,0.2,13,Barron,2.185414189653674
100,5,4.0,0.2,14,Lf_dual,0.04217214456087212
