Leverage_Ratio,Trial,Method,Param_Error
0.0,0,Lf_dual,0.024407686501512895
0.0,0,OLS,0.022294591967997223
0.0,0,Huber,0.024530860088333065
0.0,0,Cauchy,0.022294591967997223
0.0,0,Barron,0.2626826555486678
0.0,1,Lf_dual,0.043617457109428014
0.0,1,OLS,0.029725598157578876
0.0,1,Huber,0.029725598157578876
0.0,1,Cauchy,0.029725598157578876
0.0,1,Barron,0.4364219460196757
0.0,2,Lf_dual,0.025891090519992277
0.0,2,OLS,0.02179248065928294
0.0,2,Huber,0.02179248065928294
0.0,2,Cauchy,0.02179248065928294
0.0,2,Barron,0.22813491158230598
0.0,3,Lf_dual,0.024405644703327938
0.0,3,OLS,0.012206667156812675
0.0,3,Huber,0.02136646362163278
0.0,3,Cauchy,0.012206667156812675
0.0,3,Barron,0.24846875687521003
0.0,4,Lf_dual,0.0155076112779662
0.0,4,OLS,0.015608706424394101
0.0,4,Huber,0.01615722886127629
0.0,4,Cauchy,0.015608706424394101
0.0,4,Barron,0.16329048230801163
0.0,5,Lf_dual,0.024953445529012363
0.0,5,OLS,0.018618628404502208
0.0,5,Huber,0.018618628404502208
0.0,5,Cauchy,0.018618628404502208
0.0,5,Barron,0.365896062099898
0.0,6,Lf_dual,0.016916348835205704
0.0,6,OLS,0.019562005836567014
0.0,6,Huber,0.019562005836567014
0.0,6,Cauchy,0.019562005836567014
0.0,6,Barron,0.59054311161614
0.0,7,Lf_dual,0.035831757374650344
0.0,7,OLS,0.028658051695110168
0.0,7,Huber,0.028658051695110168
0.0,7,Cauchy,0.028658051695110168
0.0,7,Barron,0.3852969649909908
0.0,8,Lf_dual,0.045497415594832384
0.0,8,OLS,0.036224668639475995
0.0,8,Huber,0.036390543400595825
0.0,8,Cauchy,0.036224668639475995
0.0,8,Barron,0.2048249516302784
0.0,9,Lf_dual,0.0365791698059843
0.0,9,OLS,0.023779814085875296
0.0,9,Huber,0.03400401855454999
0.0,9,Cauchy,0.023779814085875296
0.0,9,Barron,0.28495173975517313
0.0,10,Lf_dual,0.016866942677338292
0.0,10,OLS,0.012697143321732055
0.0,10,Huber,0.01632861817489119
0.0,10,Cauchy,0.012697143321732055
0.0,10,Barron,0.24250512801910798
0.0,11,Lf_dual,0.012528966266804026
0.0,11,OLS,0.017961905918094392
0.0,11,Huber,0.01650627465617452
0.0,11,Cauchy,0.017961905918094392
0.0,11,Barron,0.31923919279119034
0.0,12,Lf_dual,0.032018268781239846
0.0,12,OLS,0.026690824203984775
0.0,12,Huber,0.026690824203984775
0.0,12,Cauchy,0.026690824203984775
0.0,12,Barron,0.36004100879609124
0.0,13,Lf_dual,0.03370016089623257
0.0,13,OLS,0.02070510434636072
0.0,13,Huber,0.024236228806438834
0.0,13,Cauchy,0.02070510434636072
0.0,13,Barron,0.15866206764721613
0.0,14,Lf_dual,0.024039690585968065
0.0,14,OLS,0.019446808692699522
0.0,14,Huber,0.019446808692699522
0.0,14,Cauchy,0.019446808692699522
0.0,14,Barron,0.14122919883261817
0.0,15,Lf_dual,0.02712508438564924
0.0,15,OLS,0.014608804141129729
0.0,15,Huber,0.014608804141129729
0.0,15,Cauchy,0.014608804141129729
0.0,15,Barron,0.27022865888007425
0.0,16,Lf_dual,0.03390877486105926
0.0,16,OLS,0.02036034748922679
0.0,16,Huber,0.02981428116862353
0.0,16,Cauchy,0.02036034748922679
0.0,16,Barron,0.2519794217741845
0.0,17,Lf_dual,0.02907211703485583
