Method,Setting,median,mean,fail%,sev%,crash
Barron,0.5x,0.029832714810941352,66.38419530187673,15.493827160493828,4.2592592592592595,0.0
Barron,1x,0.03055539808377445,51.6384356171917,15.37037037037037,4.567901234567901,2.0
Barron,2x,0.040857323500345155,50.50443468503041,16.234567901234566,5.246913580246914,0.0
Barron,4x,0.0674406771991881,63.777518712144285,17.59259259259259,5.432098765432099,1.0
Barron,oracle,0.0276017200430655,23.87497323925247,14.074074074074074,5.555555555555555,0.0
Cauchy,0.5x,0.044372257877694304,5452329328.252393,8.333333333333334,1.9135802469135803,0.0
Cauchy,1x,0.0473696608176986,22679017861.24847,10.74074074074074,4.320987654320987,0.0
Cauchy,2x,0.052990322313221996,11387299687.825863,11.234567901234568,6.481481481481482,0.0
Cauchy,4x,0.0572371117467789,2946911465.7678823,15.555555555555555,7.962962962962963,0.0
Cauchy,oracle,0.0541846884708876,27541213382.80744,7.160493827160494,3.7037037037037037,0.0
GM,0.5x,0.044095763704951954,52.47600354379117,11.604938271604938,4.012345679012346,0.0
GM,1x,0.0417898971962578,17.701758627777764,13.82716049382716,3.950617283950617,0.0
GM,2x,0.0425624728137019,34.18220128433302,15.555555555555555,6.604938271604938,0.0
GM,4x,0.055038049340591005,20.705371372733076,15.308641975308642,5.617283950617284,0.0
GM,oracle,0.0429853516707049,58.9170732619845,13.209876543209877,3.765432098765432,0.0
Huber,0.5x,0.0695208486875355,17765522138.460297,13.703703703703704,7.654320987654321,0.0
Huber,1x,0.0839163337435334,12190570111.551685,18.45679012345679,10.555555555555555,1.0
Huber,2x,0.1146617301835241,2294808715.8184695,21.049382716049383,11.296296296296296,2.0
Huber,4x,0.1457638781375966,3259929194.718602,23.641975308641975,11.54320987654321,3.0
Huber,oracle,0.0572371117467791,10048618432.905735,9.506172839506172,5.617283950617284,0.0
Tukey,0.5x,0.0743631224846183,24.6094394680853,7.777777777777778,2.654320987654321,0.0
Tukey,1x,0.0621033971766906,140.71680767171924,11.049382716049383,4.074074074074074,0.0
Tukey,2x,0.08121429084694595,70.27811441714802,14.135802469135802,3.888888888888889,0.0
Tukey,4x,0.1124193698000217,70.35492753713497,16.790123456790123,4.444444444444445,0.0
Tukey,oracle,0.0708318210007754,228.46576643631707,9.135802469135802,3.271604938271605,0.0
Welsch,0.5x,0.0572371117467876,71.3054697444327,16.790123456790123,5.493827160493828,0.0
Welsch,1x,0.0614770177157762,85.31436286840058,17.469135802469136,5.246913580246914,0.0
Welsch,2x,0.08120435982535484,44.28957483403492,17.839506172839506,4.62962962962963,0.0
Welsch,4x,0.1124193698000217,65.6678530515749,18.950617283950617,5.925925925925926,0.0
Welsch,oracle,0.0572371117467876,53.508712891475476,16.604938271604937,5.1234567901234565,0.0
